id,start,start_id,end,end_id,lat,lng,route_id_id
0,Indraprasth Society /Morby Road crossing,1315,matru darshan School,1330,22.252287,70.796921,126
1,Trikon baug,1038,Shreenathji Industries Plot No.155,1279,22.36541,70.963509,123
2,Greenland Chowk,1112,Government Engineering College,1223,22.244591,70.743027,121
3,BajrangWadi circle,398,Bhaktinagar Circle,42,22.280199,70.8022,94
4,Bhaktinagar Circle,42,badhinu patiyu,389,22.370399,70.692001,51
5,Kothariya Gam,1016,Labhubhai eng. Collage,1245,22.246086,70.739998,119
6,Trikon baug,1038,Raiyadhar Slum Quarter,1192,22.315752,70.755424,114
7,Saurashtra University,121,Arpit eng. Collage (Hadala Gam),482,22.435499,70.781601,69
8,Trikon baug,1038,Kothariya Solvant fatak,1174,22.2248,70.803192,113
9,Trikon baug,21,Shapar Veraval,0,22.1579,70.791496,1
10,Kothariya Solvant fatak,1174,Trikon baug,1038,22.29497,70.801689,112
11,Labhubhai eng. Collage,549,Greenland Chowk,56,22.3116,70.828598,97
12,Ruda Aavash - Sarita Vihar Society,1159,Trikon baug,1038,22.29497,70.801689,110
13,Trikon baug,1038,Kothariya Solavant fatak,1301,22.224871,70.803185,125
14,Mahika village,1158,Prajapati Chowk,1129,22.32317,70.759941,109
15,Arpit eng. Collage (Hadala Gam),1127,Deluxe Cinema Chowk,1128,22.305891,70.811707,107
16,131 slum quater.,179,Jivraj Park,281,22.261,70.767998,33
17,Global Chowk,1075,Trikon baug,1038,22.29497,70.801689,104
18,Kothariya Chowk,52,Lal bahadurshastri aavas,23,22.339199,70.780197,3
19,Trikon baug,1038,Naranka Gram,1000,22.119537,70.857292,101
20,Naranka Gram,1000,Trikon baug,1038,22.29497,70.801689,100
21,Trikon baug,21,Trikon baug,21,22.295,70.801697,43
22,Arpit eng. Collage (Hadala Gam),482,Saurashtra University,121,22.290501,70.743698,98
23,Kothariya Solavant fatak,1301,Trikon baug,1038,22.29497,70.801689,124
24,G.I.D.C. Gate 3,1372,K.K.V hall,1064,22.28574,70.771133,135
25,Tramba Village,132,Shivalay Chowk,24,22.3368,70.786797,93
26,Shapar-Veraval,1039,Trikon baug,1038,22.29497,70.801689,102
27,Shivalay Chowk,24,Tramba Village,132,22.2281,70.910797,92
28,Shreenathji Industries Plot No.155,1279,Trikon baug,1038,22.29497,70.801689,122
29,Ramvan,1195,Parapipaliya patiya,1219,22.343306,70.736671,116
30,Vavadi Gam (Vraj Villa Apartment),193,131 slum quater.,179,22.314199,70.795403,19
31,Gondal Chowk (RMTS),1310,Ribda Railway Station,1340,22.125988,70.800606,131
32,Trikon baug,21,Atal Sarovar,537,22.3204,70.734703,91
33,Raiya Village (Shilpan Onex),447,Tramba Village,132,22.2281,70.910797,89
34,Parsananagar,370,Tramba Village,132,22.2281,70.910797,44
35,Tramba Village,132,Raiya Village (Shilpan Onex),447,22.295601,70.749298,88
36,Madhapar Chowk (RMTS),219,AIIM Hospital,523,22.371099,70.749199,87
37,Trikon baug,21,Government Engineering College,517,22.2446,70.742996,83
38,Government Engineering College,517,Trikon baug,21,22.295,70.801697,82
39,Arpit eng. Collage (Hadala Gam),482,Gondal Chowk (RMTS),9,22.243,70.800003,80
40,Gondal Chowk (RMTS),9,Arpit eng. Collage (Hadala Gam),482,22.435499,70.781601,81
41,Arpit eng. Collage,1515,Gondal Chowk (RMTS),1310,22.24304,70.79998,152
42,Raiyadhar Slum Quarter,320,Trikon baug,21,22.295,70.801697,36
43,Kothariya Gam,74,ITI (Khirasara),87,22.2341,70.652901,9
44,131 slum quater.,179,Vavadi Gam (Vraj Villa Apartment),192,22.236799,70.783302,18
45,Atal Sarovar,532,Trikon baug,21,22.295,70.801697,90
46,Kothariya Gam,74,Saurashtra University,121,22.290501,70.743698,11
47,Saurashtra University,121,Kothariya Gam,74,22.2341,70.817596,10
48,Santiniketan Avenue(Raiya Gaam),244,Shapar Veraval,0,22.1579,70.791496,27
49,Gondal Chowk (RMTS),9,Madhapar Chowk (BRTS),1570,22.328779,70.769089,166
50,Swaminarayan vidhyalay,1409,AIIMS Hospital,1388,22.37108,70.749153,139
51,Saurashtra University,121,Arpit eng. Collage (Hadala Gam),482,22.435499,70.781601,99
52,Pradhanmantri Avash Yojna,276,H.N.Shukla College,246,22.295,70.860603,29
53,Ghanteshvar S.R.P. Camp (Main Gate),511,Radha Park (Kotharia Gam),504,22.233,70.810303,79
54,Parsana Chowk,413,Madhapar Chowk (RMTS),219,22.3316,70.771301,56
55,Gujarat Housing Board Quarter/ Sagar chowk,335,Jivraj Park,281,22.261,70.767998,39
56,Veer Savarkar Nagar (avadh road),1554,Trikon baug,1038,22.29497,70.801689,158
57,Silverpark -B Street No.-4,1553,Puneetnagar Main Road,1533,22.245808,70.793808,157
58,Madhapar Chowk (RMTS),219,Parsana Chowk,413,22.2589,70.755302,57
59,Trikon baug,21,Metoda Gam,279,22.236799,70.662903,31
60,Vitthalbhai Raddia Chowk,1534,Trikon baug,1038,22.29497,70.801689,154
61,Jivaraj Park (Vasant Vatika),455,Greenland Chowk,56,22.3116,70.828598,62
62,Regional Science centre,412,Ajidam,146,22.277901,70.835899,55
63,Trikon baug,1038,Shapar-Veraval,1039,22.158035,70.791786,103
64,Vinod Nagar,408,Nandbhumi Tower,446,22.293501,70.749496,61
65,Ridhhi Sidhhi Park Crossing,85,Bhagini Nivedita Township,399,22.335899,70.800301,53
66,Trikon baug,21,Shapar Veraval,0,22.1579,70.791496,49
67,Trikon baug,21,Raiyadhar Slum Quarter,320,22.315901,70.754898,37
68,H.N.Shukla College,246,Criste collage,387,22.2908,70.725998,46
69,Gondal Chowkdi,1491,Pradhyuman Park,1483,22.29911,70.839172,149
70,Kothariya Gam,1016,Parapipaliya Gaam,1450,22.355082,70.74131,145
71,Sat hanuman Temple,1573,Trikon baug,1038,22.29497,70.801689,162
72,Trikon baug,1038,Vitthalbhai Raddia Chowk,1534,22.2495,70.764122,155
73,Tramba Village,1582,Greenland Chowk,1112,22.31159,70.828644,164
74,Shapar Veraval,0,Trikon baug,21,22.295,70.801697,48
75,Gondal Chowkdi,1511,Munjka chowkdi,1512,22.291332,70.731056,151
76,Parapipaliya Gaam,1450,Kothariya Gam,1016,22.23411,70.817619,144
77,Greenland Chowk,1112,ITI (Khirasara),1373,22.23406,70.652885,137
78,Anandpar Gam,53,Swati Park,86,22.243999,70.8078,6
79,Pradhyuman Park,1483,Gondal Chowkdi,1491,22.24304,70.79998,148
80,District and Sessions court,1355,Bhaktinagar Station,1096,22.282961,70.794777,132
81,Bhaktinagar Circle,1033,AIIM Hospital,1410,22.37108,70.749153,141
82,Ghanteshvar S.R.P. Camp,230,Shapar Veraval,0,22.1579,70.791496,23
83,150 feet kalawad road (katariya Chowkdi),1492,Gondal Chowkdi,1511,22.243738,70.79911,150
84,Kothariya Gam,1016,Marwadi College,1121,22.36783,70.799637,129
85,ITI (Khirasara),87,Kothariya Gam,74,22.2341,70.817596,8
86,Aangan residency,190,Shantoshi nagar (Shyamji Krushna Varma Township),300,22.3342,70.795303,35
87,AIIMS Hospital,1388,Swaminarayan vidhyalay,1409,22.280035,70.855881,138
88,Bhagini Nivedita Township,399,Ridhhi Sidhhi Park Crossing,85,22.2421,70.807999,52
