route_id,time_category,counts,counts_average,time_category_duration,frequency,route_no
0,non_peak_1,2,2,480,240,R11DOWN
0,non_peak_2,3,3,300,100,R11DOWN
0,peak_1,4,4,240,60,R11DOWN
0,peak_2,2,2,240,120,R11DOWN
1,non_peak_1,1,1,480,480,R11UP
1,non_peak_2,3,3,300,100,R11UP
1,peak_1,4,4,240,60,R11UP
1,peak_2,1,1,240,240,R11UP
2,non_peak_1,1,1,480,480,R13DOWN
2,non_peak_2,5,5,300,60,R13DOWN
2,peak_1,4,4,240,60,R13DOWN
2,peak_2,4,4,240,60,R13DOWN
3,non_peak_1,1,1,480,480,R13UP
3,non_peak_2,5,5,300,60,R13UP
3,peak_1,4,4,240,60,R13UP
3,peak_2,4,4,240,60,R13UP
4,non_peak_1,2,2,480,240,R14ADOWN
4,non_peak_2,3,3,300,100,R14ADOWN
4,non_peak_3,1,1,180,180,R14ADOWN
4,peak_1,2,2,240,120,R14ADOWN
4,peak_2,2,2,240,120,R14ADOWN
5,non_peak_2,1,1,300,300,R14AUP
5,peak_1,2,2,240,120,R14AUP
5,peak_2,3,3,240,80,R14AUP
6,non_peak_1,2,2,480,240,R14BDOWN
6,non_peak_2,3,3,300,100,R14BDOWN
6,non_peak_3,1,1,180,180,R14BDOWN
6,peak_1,2,2,240,120,R14BDOWN
6,peak_2,2,2,240,120,R14BDOWN
7,non_peak_2,1,1,300,300,R14BUP
7,peak_1,2,2,240,120,R14BUP
7,peak_2,3,3,240,80,R14BUP
8,non_peak_2,3,3,300,100,R15DOWN
8,peak_1,3,3,240,80,R15DOWN
8,peak_2,2,2,240,120,R15DOWN
9,non_peak_1,2,2,480,240,R15UP
9,non_peak_2,3,3,300,100,R15UP
9,peak_1,2,2,240,120,R15UP
9,peak_2,1,1,240,240,R15UP
10,non_peak_1,2,2,480,240,R16DOWN
10,non_peak_2,4,4,300,75,R16DOWN
10,peak_1,3,3,240,80,R16DOWN
10,peak_2,1,1,240,240,R16DOWN
11,non_peak_1,2,2,480,240,R16UP
11,non_peak_2,4,4,300,75,R16UP
11,peak_1,3,3,240,80,R16UP
11,peak_2,3,3,240,80,R16UP
12,non_peak_1,2,2,480,240,R17DOWN
12,non_peak_2,4,4,300,75,R17DOWN
12,peak_1,2,2,240,120,R17DOWN
12,peak_2,1,1,240,240,R17DOWN
13,non_peak_1,1,1,480,480,R17UP
13,non_peak_2,2,2,300,150,R17UP
13,peak_1,2,2,240,120,R17UP
13,peak_2,1,1,240,240,R17UP
14,non_peak_1,1,1,480,480,R18ADOWN
14,non_peak_2,3,3,300,100,R18ADOWN
14,peak_1,3,3,240,80,R18ADOWN
14,peak_2,2,2,240,120,R18ADOWN
15,non_peak_1,1,1,480,480,R18AUP
15,non_peak_2,3,3,300,100,R18AUP
15,peak_1,3,3,240,80,R18AUP
15,peak_2,1,1,240,240,R18AUP
16,non_peak_1,1,1,480,480,R18BDOWN
16,non_peak_2,3,3,300,100,R18BDOWN
16,peak_1,3,3,240,80,R18BDOWN
16,peak_2,2,2,240,120,R18BDOWN
17,non_peak_1,1,1,480,480,R18BUP
17,non_peak_2,3,3,300,100,R18BUP
17,peak_1,3,3,240,80,R18BUP
17,peak_2,1,1,240,240,R18BUP
18,non_peak_1,1,1,480,480,R19DOWN
18,non_peak_2,4,4,300,75,R19DOWN
18,peak_1,5,5,240,48,R19DOWN
18,peak_2,3,3,240,80,R19DOWN
19,non_peak_1,1,1,480,480,R19UP
19,non_peak_2,3,3,300,100,R19UP
19,non_peak_3,1,1,180,180,R19UP
19,peak_1,4,4,240,60,R19UP
19,peak_2,4,4,240,60,R19UP
20,non_peak_1,2,2,480,240,R1DOWN
20,non_peak_2,6,6,300,50,R1DOWN
20,peak_1,5,5,240,48,R1DOWN
20,peak_2,4,4,240,60,R1DOWN
21,non_peak_1,3,3,480,160,R1UP
21,non_peak_2,5,5,300,60,R1UP
21,non_peak_3,1,1,180,180,R1UP
21,peak_1,5,5,240,48,R1UP
21,peak_2,5,5,240,48,R1UP
22,non_peak_2,2,2,300,150,R20DOWN
22,peak_1,3,3,240,80,R20DOWN
22,peak_2,1,1,240,240,R20DOWN
23,non_peak_1,1,1,480,480,R20UP
23,non_peak_2,2,2,300,150,R20UP
23,peak_1,2,2,240,120,R20UP
23,peak_2,1,1,240,240,R20UP
24,non_peak_2,1,1,300,300,R21DOWN
24,peak_1,2,2,240,120,R21DOWN
24,peak_2,1,1,240,240,R21DOWN
25,non_peak_2,1,1,300,300,R21UP
25,peak_1,1,1,240,240,R21UP
26,non_peak_2,1,1,300,300,R22DOWN
26,peak_1,2,2,240,120,R22DOWN
26,peak_2,2,2,240,120,R22DOWN
27,non_peak_1,1,1,480,480,R22UP
27,non_peak_2,1,1,300,300,R22UP
27,peak_2,1,1,240,240,R22UP
28,non_peak_1,1,1,480,480,R23DOWN
28,non_peak_2,2,2,300,150,R23DOWN
28,peak_1,3,3,240,80,R23DOWN
28,peak_2,3,3,240,80,R23DOWN
29,non_peak_1,1,1,480,480,R23UP
29,non_peak_2,3,3,300,100,R23UP
29,peak_1,4,4,240,60,R23UP
29,peak_2,4,4,240,60,R23UP
30,non_peak_1,1,1,480,480,R24DOWN
30,non_peak_2,1,1,300,300,R24DOWN
30,peak_1,1,1,240,240,R24DOWN
30,peak_2,1,1,240,240,R24DOWN
31,non_peak_1,2,2,480,240,R24UP
31,non_peak_2,4,4,300,75,R24UP
31,peak_1,3,3,240,80,R24UP
31,peak_2,2,2,240,120,R24UP
32,non_peak_1,1,1,480,480,R25DOWN
32,non_peak_2,3,3,300,100,R25DOWN
32,peak_1,5,5,240,48,R25DOWN
32,peak_2,4,4,240,60,R25DOWN
33,non_peak_1,1,1,480,480,R25UP
33,non_peak_2,3,3,300,100,R25UP
33,peak_1,5,5,240,48,R25UP
33,peak_2,4,4,240,60,R25UP
34,non_peak_1,2,2,480,240,R26DOWN
34,non_peak_2,4,4,300,75,R26DOWN
34,peak_1,3,3,240,80,R26DOWN
34,peak_2,3,3,240,80,R26DOWN
35,non_peak_1,1,1,480,480,R26UP
35,non_peak_2,4,4,300,75,R26UP
35,peak_1,4,4,240,60,R26UP
35,peak_2,3,3,240,80,R26UP
36,non_peak_1,2,2,480,240,R27DOWN
36,non_peak_2,7,7,300,43,R27DOWN
36,peak_1,7,7,240,35,R27DOWN
36,peak_2,6,6,240,40,R27DOWN
37,non_peak_1,1,1,480,480,R27UP
37,non_peak_2,7,7,300,43,R27UP
37,peak_1,7,7,240,35,R27UP
37,peak_2,5,5,240,48,R27UP
38,non_peak_1,2,2,480,240,R28DOWN
38,non_peak_2,4,4,300,75,R28DOWN
38,peak_1,4,4,240,60,R28DOWN
38,peak_2,2,2,240,120,R28DOWN
39,non_peak_1,2,2,480,240,R28UP
39,non_peak_2,4,4,300,75,R28UP
39,peak_1,4,4,240,60,R28UP
39,peak_2,2,2,240,120,R28UP
40,non_peak_1,2,2,480,240,R2DOWN
40,non_peak_2,2,2,300,150,R2DOWN
40,peak_1,2,2,240,120,R2DOWN
40,peak_2,3,3,240,80,R2DOWN
41,non_peak_1,1,1,480,480,R2UP
41,non_peak_2,4,4,300,75,R2UP
41,peak_1,4,4,240,60,R2UP
41,peak_2,3,3,240,80,R2UP
42,non_peak_1,3,3,480,160,R30CIRCULAR
42,non_peak_2,4,4,300,75,R30CIRCULAR
42,peak_1,5,5,240,48,R30CIRCULAR
42,peak_2,4,4,240,60,R30CIRCULAR
43,non_peak_1,2,2,480,240,R31CIRCULAR
43,non_peak_2,4,4,300,75,R31CIRCULAR
43,peak_1,5,5,240,48,R31CIRCULAR
43,peak_2,5,5,240,48,R31CIRCULAR
44,non_peak_2,3,3,300,100,R32DOWN
44,peak_1,3,3,240,80,R32DOWN
44,peak_2,2,2,240,120,R32DOWN
45,non_peak_1,1,1,480,480,R32UP
45,non_peak_2,4,4,300,75,R32UP
45,peak_1,2,2,240,120,R32UP
45,peak_2,1,1,240,240,R32UP
46,non_peak_1,1,1,480,480,R34DOWN
46,non_peak_2,2,2,300,150,R34DOWN
46,peak_1,3,3,240,80,R34DOWN
46,peak_2,3,3,240,80,R34DOWN
47,non_peak_1,1,1,480,480,R34UP
47,non_peak_2,3,3,300,100,R34UP
47,peak_1,3,3,240,80,R34UP
47,peak_2,3,3,240,80,R34UP
48,non_peak_1,2,2,480,240,R35DOWN
48,non_peak_2,4,4,300,75,R35DOWN
48,peak_1,4,4,240,60,R35DOWN
48,peak_2,2,2,240,120,R35DOWN
49,non_peak_1,2,2,480,240,R35UP
49,non_peak_2,4,4,300,75,R35UP
49,non_peak_3,1,1,180,180,R35UP
49,peak_1,2,2,240,120,R35UP
49,peak_2,1,1,240,240,R35UP
50,non_peak_1,1,1,480,480,R36DOWN
50,non_peak_2,2,2,300,150,R36DOWN
50,peak_1,3,3,240,80,R36DOWN
50,peak_2,4,4,240,60,R36DOWN
51,non_peak_1,2,2,480,240,R36UP
51,non_peak_2,3,3,300,100,R36UP
51,peak_1,2,2,240,120,R36UP
51,peak_2,3,3,240,80,R36UP
52,non_peak_1,1,1,480,480,R37DOWN
52,non_peak_2,4,4,300,75,R37DOWN
52,peak_1,4,4,240,60,R37DOWN
52,peak_2,3,3,240,80,R37DOWN
53,non_peak_1,1,1,480,480,R37UP
53,non_peak_2,4,4,300,75,R37UP
53,peak_1,4,4,240,60,R37UP
53,peak_2,4,4,240,60,R37UP
54,non_peak_1,2,2,480,240,R38DOWN
54,non_peak_2,5,5,300,60,R38DOWN
54,peak_1,6,6,240,40,R38DOWN
54,peak_2,6,6,240,40,R38DOWN
55,non_peak_1,4,4,480,120,R38UP
55,non_peak_2,4,4,300,75,R38UP
55,peak_1,6,6,240,40,R38UP
55,peak_2,5,5,240,48,R38UP
56,non_peak_1,1,1,480,480,R3DOWN
56,non_peak_2,3,3,300,100,R3DOWN
56,peak_1,3,3,240,80,R3DOWN
56,peak_2,2,2,240,120,R3DOWN
57,non_peak_1,1,1,480,480,R3UP
57,non_peak_2,3,3,300,100,R3UP
57,peak_1,3,3,240,80,R3UP
57,peak_2,2,2,240,120,R3UP
58,non_peak_1,2,2,480,240,R40DOWN
58,non_peak_2,5,5,300,60,R40DOWN
58,non_peak_3,1,1,180,180,R40DOWN
58,peak_1,3,3,240,80,R40DOWN
58,peak_2,2,2,240,120,R40DOWN
59,non_peak_1,2,2,480,240,R40UP
59,non_peak_2,5,5,300,60,R40UP
59,non_peak_3,1,1,180,180,R40UP
59,peak_1,3,3,240,80,R40UP
59,peak_2,2,2,240,120,R40UP
60,non_peak_1,1,1,480,480,R41DOWN
60,non_peak_2,4,4,300,75,R41DOWN
60,peak_1,3,3,240,80,R41DOWN
60,peak_2,3,3,240,80,R41DOWN
61,non_peak_1,1,1,480,480,R41UP
61,non_peak_2,4,4,300,75,R41UP
61,peak_1,3,3,240,80,R41UP
61,peak_2,4,4,240,60,R41UP
62,non_peak_1,2,2,480,240,R42DOWN
62,non_peak_2,4,4,300,75,R42DOWN
62,non_peak_3,1,1,180,180,R42DOWN
62,peak_1,4,4,240,60,R42DOWN
62,peak_2,4,4,240,60,R42DOWN
63,non_peak_1,2,2,480,240,R42UP
63,non_peak_2,1,1,300,300,R42UP
63,non_peak_3,1,1,180,180,R42UP
63,peak_1,4,4,240,60,R42UP
63,peak_2,4,4,240,60,R42UP
64,non_peak_1,2,2,480,240,R43DOWN
64,non_peak_2,5,5,300,60,R43DOWN
64,peak_1,6,6,240,40,R43DOWN
64,peak_2,5,5,240,48,R43DOWN
65,non_peak_1,2,2,480,240,R43UP
65,non_peak_2,6,6,300,50,R43UP
65,peak_1,5,5,240,48,R43UP
65,peak_2,5,5,240,48,R43UP
66,non_peak_1,1,1,480,480,R44DOWN
66,non_peak_2,4,4,300,75,R44DOWN
66,peak_1,4,4,240,60,R44DOWN
66,peak_2,2,2,240,120,R44DOWN
67,non_peak_1,1,1,480,480,R44UP
67,non_peak_2,4,4,300,75,R44UP
67,peak_1,4,4,240,60,R44UP
67,peak_2,1,1,240,240,R44UP
68,non_peak_2,1,1,300,300,R45DOWN
68,peak_1,1,1,240,240,R45DOWN
68,peak_2,2,2,240,120,R45DOWN
69,non_peak_1,1,1,480,480,R45UP
69,non_peak_2,3,3,300,100,R45UP
69,peak_1,3,3,240,80,R45UP
69,peak_2,1,1,240,240,R45UP
70,non_peak_1,2,2,480,240,R46DOWN
70,non_peak_2,3,3,300,100,R46DOWN
70,peak_1,3,3,240,80,R46DOWN
70,peak_2,2,2,240,120,R46DOWN
71,non_peak_2,3,3,300,100,R46UP
71,peak_1,4,4,240,60,R46UP
71,peak_2,1,1,240,240,R46UP
72,non_peak_1,2,2,480,240,R47DOWN
72,non_peak_2,4,4,300,75,R47DOWN
72,peak_1,4,4,240,60,R47DOWN
72,peak_2,3,3,240,80,R47DOWN
73,non_peak_2,4,4,300,75,R47UP
73,peak_1,5,5,240,48,R47UP
73,peak_2,2,2,240,120,R47UP
74,non_peak_1,1,1,480,480,R4DOWN
74,non_peak_2,3,3,300,100,R4DOWN
74,peak_1,2,2,240,120,R4DOWN
74,peak_2,2,2,240,120,R4DOWN
75,non_peak_1,2,2,480,240,R4UP
75,non_peak_2,2,2,300,150,R4UP
75,peak_1,3,3,240,80,R4UP
75,peak_2,1,1,240,240,R4UP
76,non_peak_1,1,1,480,480,R51DOWN
76,non_peak_2,3,3,300,100,R51DOWN
76,peak_1,3,3,240,80,R51DOWN
76,peak_2,3,3,240,80,R51DOWN
77,non_peak_1,1,1,480,480,R51UP
77,non_peak_2,3,3,300,100,R51UP
77,peak_1,3,3,240,80,R51UP
77,peak_2,3,3,240,80,R51UP
78,non_peak_1,1,1,480,480,R54DOWN
78,non_peak_2,3,3,300,100,R54DOWN
78,peak_1,3,3,240,80,R54DOWN
78,peak_2,2,2,240,120,R54DOWN
79,non_peak_1,1,1,480,480,R54UP
79,non_peak_2,3,3,300,100,R54UP
79,peak_1,3,3,240,80,R54UP
79,peak_2,2,2,240,120,R54UP
80,non_peak_2,1,1,300,300,R55DOWN
80,peak_2,2,2,240,120,R55DOWN
81,non_peak_1,1,1,480,480,R55UP
81,non_peak_2,3,3,300,100,R55UP
81,peak_1,2,2,240,120,R55UP
81,peak_2,1,1,240,240,R55UP
82,non_peak_1,1,1,480,480,R56DOWN
82,non_peak_2,2,2,300,150,R56DOWN
82,peak_1,2,2,240,120,R56DOWN
82,peak_2,1,1,240,240,R56DOWN
83,non_peak_1,1,1,480,480,R56UP
83,non_peak_2,3,3,300,100,R56UP
83,peak_1,2,2,240,120,R56UP
84,non_peak_1,2,2,480,240,R57DOWN
