route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
100ADOWN,4,non_peak_1,1,1,480,480
100ADOWN,4,non_peak_2,2,2,300,150
100ADOWN,4,non_peak_3,1,1,180,180
100ADOWN,4,peak_1,1,1,240,240
100ADOWN,4,peak_2,1,1,240,240
100AUP,5,non_peak_1,1,1,480,480
100AUP,5,non_peak_2,1,1,300,300
100AUP,5,peak_1,2,2,240,120
100AUP,5,peak_2,2,2,240,120
100BDOWN,8,non_peak_2,11,11,300,28
100BDOWN,8,non_peak_3,4,4,180,45
100BDOWN,8,peak_1,4,4,240,60
100BDOWN,8,peak_2,2,2,240,120
100BUP,9,non_peak_1,6,6,480,80
100BUP,9,non_peak_2,13,13,300,24
100BUP,9,peak_1,3,3,240,80
100BUP,9,peak_2,1,1,240,240
100CDOWN,10,non_peak_2,1,1,300,300
100DOWN,6,non_peak_1,6,6,480,80
100DOWN,6,non_peak_2,17,17,300,18
100DOWN,6,non_peak_3,9,9,180,20
100DOWN,6,peak_1,17,17,240,15
100DOWN,6,peak_2,15,15,240,16
100UP,7,non_peak_1,11,11,480,44
100UP,7,non_peak_2,18,18,300,17
100UP,7,non_peak_3,5,5,180,36
100UP,7,peak_1,15,15,240,16
100UP,7,peak_2,15,15,240,16
103ADOWN,11,non_peak_1,1,1,480,480
103ADOWN,11,non_peak_2,1,1,300,300
103ADOWN,11,peak_1,2,2,240,120
103ADOWN,11,peak_2,1,1,240,240
103AUP,12,non_peak_1,1,1,480,480
103AUP,12,non_peak_2,2,2,300,150
103AUP,12,peak_1,2,2,240,120
103DOWN,13,non_peak_1,8,8,480,60
103DOWN,13,non_peak_2,28,28,300,11
103DOWN,13,non_peak_3,10,10,180,18
103DOWN,13,peak_1,22,22,240,11
103DOWN,13,peak_2,21,21,240,12
103MDOWN,14,non_peak_2,2,2,300,150
103MDOWN,14,peak_1,2,2,240,120
103MDOWN,14,peak_2,2,2,240,120
103MUP,15,non_peak_2,2,2,300,150
103MUP,15,peak_1,3,3,240,80
103MUP,15,peak_2,1,1,240,240
103UP,16,non_peak_1,8,8,480,60
103UP,16,non_peak_2,29,29,300,11
103UP,16,non_peak_3,10,10,180,18
103UP,16,peak_1,21,21,240,12
103UP,16,peak_2,21,21,240,12
104DOWN,17,non_peak_1,1,1,480,480
104DOWN,17,non_peak_2,7,7,300,43
104DOWN,17,peak_1,5,5,240,48
104DOWN,17,peak_2,5,5,240,48
104UP,18,non_peak_1,2,2,480,240
104UP,18,non_peak_2,7,7,300,43
104UP,18,peak_1,6,6,240,40
104UP,18,peak_2,3,3,240,80
107DOWN,19,non_peak_1,1,1,480,480
107DOWN,19,non_peak_2,2,2,300,150
107DOWN,19,peak_1,3,3,240,80
107DOWN,19,peak_2,2,2,240,120
107UP,20,non_peak_1,3,3,480,160
107UP,20,non_peak_2,2,2,300,150
107UP,20,peak_1,2,2,240,120
107UP,20,peak_2,1,1,240,240
108DOWN,21,non_peak_2,2,2,300,150
108DOWN,21,peak_1,2,2,240,120
108DOWN,21,peak_2,1,1,240,240
108UP,22,non_peak_1,1,1,480,480
108UP,22,non_peak_2,1,1,300,300
108UP,22,peak_1,2,2,240,120
108UP,22,peak_2,1,1,240,240
109ARING,23,non_peak_1,8,8,480,60
109BRING,24,non_peak_3,8,8,180,23
109RING,25,non_peak_1,7,7,480,69
109RING,25,non_peak_2,22,22,300,14
109RING,25,non_peak_3,3,3,180,60
109RING,25,peak_1,17,17,240,15
109RING,25,peak_2,15,15,240,16
10DOWN,2,non_peak_2,1,1,300,300
10DOWN,2,peak_1,3,3,240,80
10DOWN,2,peak_2,2,2,240,120
10UP,3,non_peak_2,1,1,300,300
10UP,3,peak_1,3,3,240,80
10UP,3,peak_2,2,2,240,120
110ARING,30,non_peak_1,8,8,480,60
110BRING,31,non_peak_3,8,8,180,23
110RING,32,non_peak_1,7,7,480,69
110RING,32,non_peak_2,22,22,300,14
110RING,32,non_peak_3,3,3,180,60
110RING,32,peak_1,17,17,240,15
110RING,32,peak_2,15,15,240,16
111MDOWN,34,non_peak_1,4,4,480,120
111MDOWN,34,non_peak_2,10,10,300,30
111MDOWN,34,non_peak_3,5,5,180,36
111MDOWN,34,peak_1,8,8,240,30
111MDOWN,34,peak_2,8,8,240,30
111MUP,35,non_peak_1,4,4,480,120
111MUP,35,non_peak_2,10,10,300,30
111MUP,35,non_peak_3,5,5,180,36
111MUP,35,peak_1,8,8,240,30
111MUP,35,peak_2,8,8,240,30
111RING,33,non_peak_1,9,9,480,54
111RING,33,non_peak_2,12,12,300,25
111RING,33,non_peak_3,1,1,180,180
111RING,33,peak_1,10,10,240,24
111RING,33,peak_2,11,11,240,22
112RING,36,non_peak_1,8,8,480,60
112RING,36,non_peak_2,11,11,300,28
112RING,36,non_peak_3,2,2,180,90
112RING,36,peak_1,10,10,240,24
112RING,36,peak_2,11,11,240,22
