route_id,time_category,counts,counts_average,time_category_duration,frequency
0,non_peak_1,2,2,480,240
0,non_peak_2,3,3,300,100
0,peak_1,4,4,240,60
0,peak_2,2,2,240,120
1,non_peak_1,1,1,480,480
1,non_peak_2,3,3,300,100
1,peak_1,4,4,240,60
1,peak_2,1,1,240,240
2,non_peak_1,1,1,480,480
2,non_peak_2,5,5,300,60
2,peak_1,4,4,240,60
2,peak_2,4,4,240,60
3,non_peak_1,1,1,480,480
3,non_peak_2,5,5,300,60
3,peak_1,4,4,240,60
3,peak_2,4,4,240,60
4,non_peak_1,2,2,480,240
4,non_peak_2,3,3,300,100
4,non_peak_3,1,1,180,180
4,peak_1,2,2,240,120
4,peak_2,2,2,240,120
5,non_peak_2,1,1,300,300
5,peak_1,2,2,240,120
5,peak_2,3,3,240,80
6,non_peak_1,2,2,480,240
6,non_peak_2,3,3,300,100
6,non_peak_3,1,1,180,180
6,peak_1,2,2,240,120
6,peak_2,2,2,240,120
7,non_peak_2,1,1,300,300
7,peak_1,2,2,240,120
7,peak_2,3,3,240,80
8,non_peak_2,3,3,300,100
8,peak_1,3,3,240,80
8,peak_2,2,2,240,120
9,non_peak_1,2,2,480,240
9,non_peak_2,3,3,300,100
9,peak_1,2,2,240,120
9,peak_2,1,1,240,240
10,non_peak_1,2,2,480,240
10,non_peak_2,4,4,300,75
10,peak_1,3,3,240,80
10,peak_2,1,1,240,240
11,non_peak_1,2,2,480,240
11,non_peak_2,4,4,300,75
11,peak_1,3,3,240,80
11,peak_2,3,3,240,80
12,non_peak_1,2,2,480,240
12,non_peak_2,4,4,300,75
12,peak_1,2,2,240,120
12,peak_2,1,1,240,240
13,non_peak_1,1,1,480,480
13,non_peak_2,2,2,300,150
13,peak_1,2,2,240,120
13,peak_2,1,1,240,240
14,non_peak_1,1,1,480,480
14,non_peak_2,3,3,300,100
14,peak_1,3,3,240,80
14,peak_2,2,2,240,120
15,non_peak_1,1,1,480,480
15,non_peak_2,3,3,300,100
15,peak_1,3,3,240,80
15,peak_2,1,1,240,240
16,non_peak_1,1,1,480,480
16,non_peak_2,3,3,300,100
16,peak_1,3,3,240,80
16,peak_2,2,2,240,120
17,non_peak_1,1,1,480,480
17,non_peak_2,3,3,300,100
17,peak_1,3,3,240,80
17,peak_2,1,1,240,240
18,non_peak_1,1,1,480,480
18,non_peak_2,4,4,300,75
18,peak_1,5,5,240,48
18,peak_2,3,3,240,80
19,non_peak_1,1,1,480,480
19,non_peak_2,3,3,300,100
19,non_peak_3,1,1,180,180
19,peak_1,4,4,240,60
19,peak_2,4,4,240,60
20,non_peak_1,2,2,480,240
20,non_peak_2,6,6,300,50
20,peak_1,5,5,240,48
20,peak_2,4,4,240,60
21,non_peak_1,3,3,480,160
21,non_peak_2,5,5,300,60
21,non_peak_3,1,1,180,180
21,peak_1,5,5,240,48
21,peak_2,5,5,240,48
22,non_peak_2,2,2,300,150
22,peak_1,3,3,240,80
22,peak_2,1,1,240,240
23,non_peak_1,1,1,480,480
23,non_peak_2,2,2,300,150
23,peak_1,2,2,240,120
23,peak_2,1,1,240,240
24,non_peak_2,1,1,300,300
24,peak_1,2,2,240,120
24,peak_2,1,1,240,240
25,non_peak_2,1,1,300,300
25,peak_1,1,1,240,240
26,non_peak_2,1,1,300,300
26,peak_1,2,2,240,120
26,peak_2,2,2,240,120
27,non_peak_1,1,1,480,480
27,non_peak_2,1,1,300,300
27,peak_2,1,1,240,240
28,non_peak_1,1,1,480,480
28,non_peak_2,2,2,300,150
28,peak_1,3,3,240,80
28,peak_2,3,3,240,80
29,non_peak_1,1,1,480,480
29,non_peak_2,3,3,300,100
29,peak_1,4,4,240,60
29,peak_2,4,4,240,60
30,non_peak_1,1,1,480,480
30,non_peak_2,1,1,300,300
30,peak_1,1,1,240,240
30,peak_2,1,1,240,240
31,non_peak_1,2,2,480,240
31,non_peak_2,4,4,300,75
31,peak_1,3,3,240,80
31,peak_2,2,2,240,120
32,non_peak_1,1,1,480,480
32,non_peak_2,3,3,300,100
32,peak_1,5,5,240,48
32,peak_2,4,4,240,60
33,non_peak_1,1,1,480,480
33,non_peak_2,3,3,300,100
33,peak_1,5,5,240,48
33,peak_2,4,4,240,60
34,non_peak_1,2,2,480,240
34,non_peak_2,4,4,300,75
34,peak_1,3,3,240,80
34,peak_2,3,3,240,80
35,non_peak_1,1,1,480,480
35,non_peak_2,4,4,300,75
35,peak_1,4,4,240,60
35,peak_2,3,3,240,80
36,non_peak_1,2,2,480,240
36,non_peak_2,7,7,300,43
36,peak_1,7,7,240,35
36,peak_2,6,6,240,40
37,non_peak_1,1,1,480,480
37,non_peak_2,7,7,300,43
37,peak_1,7,7,240,35
37,peak_2,5,5,240,48
38,non_peak_1,2,2,480,240
38,non_peak_2,4,4,300,75
38,peak_1,4,4,240,60
38,peak_2,2,2,240,120
39,non_peak_1,2,2,480,240
39,non_peak_2,4,4,300,75
39,peak_1,4,4,240,60
39,peak_2,2,2,240,120
40,non_peak_1,2,2,480,240
40,non_peak_2,2,2,300,150
40,peak_1,2,2,240,120
40,peak_2,3,3,240,80
41,non_peak_1,1,1,480,480
41,non_peak_2,4,4,300,75
41,peak_1,4,4,240,60
41,peak_2,3,3,240,80
42,non_peak_1,3,3,480,160
42,non_peak_2,4,4,300,75
42,peak_1,5,5,240,48
42,peak_2,4,4,240,60
43,non_peak_1,2,2,480,240
43,non_peak_2,4,4,300,75
43,peak_1,5,5,240,48
43,peak_2,5,5,240,48
44,non_peak_2,3,3,300,100
44,peak_1,3,3,240,80
44,peak_2,2,2,240,120
45,non_peak_1,1,1,480,480
45,non_peak_2,4,4,300,75
45,peak_1,2,2,240,120
45,peak_2,1,1,240,240
46,non_peak_1,1,1,480,480
46,non_peak_2,2,2,300,150
46,peak_1,3,3,240,80
46,peak_2,3,3,240,80
47,non_peak_1,1,1,480,480
47,non_peak_2,3,3,300,100
47,peak_1,3,3,240,80
47,peak_2,3,3,240,80
48,non_peak_1,2,2,480,240
48,non_peak_2,4,4,300,75
48,peak_1,4,4,240,60
48,peak_2,2,2,240,120
49,non_peak_1,2,2,480,240
49,non_peak_2,4,4,300,75
49,non_peak_3,1,1,180,180
49,peak_1,2,2,240,120
49,peak_2,1,1,240,240
50,non_peak_1,1,1,480,480
50,non_peak_2,2,2,300,150
50,peak_1,3,3,240,80
50,peak_2,4,4,240,60
51,non_peak_1,2,2,480,240
51,non_peak_2,3,3,300,100
51,peak_1,2,2,240,120
51,peak_2,3,3,240,80
52,non_peak_1,1,1,480,480
52,non_peak_2,4,4,300,75
52,peak_1,4,4,240,60
52,peak_2,3,3,240,80
53,non_peak_1,1,1,480,480
53,non_peak_2,4,4,300,75
53,peak_1,4,4,240,60
53,peak_2,4,4,240,60
54,non_peak_1,2,2,480,240
54,non_peak_2,5,5,300,60
54,peak_1,6,6,240,40
54,peak_2,6,6,240,40
55,non_peak_1,4,4,480,120
55,non_peak_2,4,4,300,75
55,peak_1,6,6,240,40
55,peak_2,5,5,240,48
56,non_peak_1,1,1,480,480
56,non_peak_2,3,3,300,100
56,peak_1,3,3,240,80
56,peak_2,2,2,240,120
57,non_peak_1,1,1,480,480
57,non_peak_2,3,3,300,100
57,peak_1,3,3,240,80
57,peak_2,2,2,240,120
58,non_peak_1,2,2,480,240
